Back,Back
Duplicate,Duplicate
"Duplicate Category","Duplicate Category"
"Duplicate Category ""' . . '""","Duplicate Category ""' . . '"""
"Select Parent Category","Select Parent Category"
"Copy Product Relations","Copy Product Relations"
No,No
Yes,Yes
"Search and Replace","Search and Replace"
"Leave empty if you do not need to search and replace. ","Leave empty if you do not need to search and replace. "
"Search For:","Search For:"
"Replace With:","Replace With:"
Cancel,Cancel
